"","Name","ISIN","Invested","Divested","Quantity"
"1","Aberdeen Asset Management","GB0000031285",2016-05-02,2017-02-06,97
"2","Aston Martin","GB00BFXZC448",2019-08-12,2020-02-10,192
"3","AstraZeneca","GB0009895292",2016-05-02,2021-04-19,11
"4","Aviva","GB0002162385",2016-05-02,2019-08-05,227
"5","Barrick Gold","CA0679011084",2019-01-07,2020-06-29,91
"6","British Land","GB0001367019",2016-05-02,2021-04-19,108
"7","BT","GB0030913577",2018-08-28,2020-02-10,726
"8","Carnival","GB0031215220",2016-05-02,2019-08-05,27
"9","Cineworld","GB00B15FWH70",2019-08-12,2020-02-03,245
"10","CRH","IE0001827041",2018-08-28,2021-04-19,50
"11","Diageo","GB0002374006",2016-05-02,2021-04-19,80
"12","Dunelm","GB00B1CKQ739",2017-06-05,2021-04-19,124
"13","Easyjet","GB00B7KR2P84",2018-08-28,2019-04-29,104
"14","Fidelity National Information Services","US31620M1062",2019-08-05,2020-06-29,13
"15","First Trust Cloud Computing UCITS ETF","IE00BFD2H405",2020-08-24,2021-04-19,166
"16","GlaxoSmithKline","GB0009252882",2020-07-06,2021-04-19,67
"17","Glencore","JE00B4T3BW64",2016-05-02,2021-04-19,209
"18","Greggs","GB00B63QSB39",2019-08-12,2021-04-19,47
"19","Hays","GB0004161021",2016-05-02,2018-08-20,1114
"20","Intercontinental Hotel Group","GB00BHJYC057",2016-05-02,2021-04-19,17
"21","International Consolidated Airlines","ES0177542018",2016-05-02,2016-08-15,56
"22","International Personal Financ","GB00B1YKG049",2017-06-05,2018-08-20,631
"23","Interserve","GB0001528156",2016-05-02,2016-05-09,83
"24","Invesco QQQ Trust","US46090E1038",2017-06-05,2020-08-17,9
"25","Investec","GB00B17BBQ50",2019-08-12,2021-04-19,234
"26","iShares Automation & Robotics","IE00BYZK4552",2017-06-12,2019-08-05,270
"27","iShares Global Clean Energy","IE00B1XNHC34",2019-08-12,2021-04-19,434
"28","iShares NASDAQ 100","IE00B53SZB19",2018-09-10,2019-08-05,1
"29","Kainos Group","GB00BZ0D6727",2020-07-06,2021-04-19,302
"30","L&G Russell 2000 US Small Cap ETF","IE00B3CNHJ55",2020-08-24,2021-04-19,29
"31","Lloyds","GB0008706128",2016-05-02,2021-04-19,3384
"32","M&G Group","GB00BKFB1C65",2019-10-28,2020-06-29,44
"33","Mondi","GB00B1CRLC47",2020-07-06,2021-04-19,147
"34","MSCI Nordic","IE00B9MRHC27",2018-09-17,2020-06-29,51
"35","MSCI Pakistan","LU0659579147",2017-06-12,2018-02-05,290
"36","National Grid","GB00BDR05C01",2016-05-02,2018-03-05,74
"37","Next","GB0032089863",2016-05-02,2017-02-06,8
"38","Nintey One","GB00BJHPLV88",2020-03-23,2020-06-29,117
"39","Paye Grou","GB0034264548",2016-05-02,2018-01-01,226
"40","Pennon Group","GB00B18V8630",2018-08-28,2021-04-19,165
"41","Prudential","GB0007099541",2019-08-12,2021-04-19,73
"42","Randgold","GB00B01C3S32",2016-05-02,2018-12-17,15
"43","Shell A","GB00B03MLX29",2016-12-26,2021-04-19,7
"44","Shell B","GB00B03MM408",2016-05-02,2021-04-19,94
"45","Shire Plc","JE00B2QKY057",2016-05-02,2018-03-05,40
"46","Smith & Nephew","GB0009223206",2018-08-28,2021-04-19,89
"47","Smiths Group","GB00B1WY2338",2020-07-06,2021-04-19,93
"48","Smurfit Kappa","IE00B1RR8406",2017-06-05,2019-08-05,49
"49","SPDR Dow Jones Global Real Estate","IE00B8GF1M35",2019-08-12,2021-04-19,32
"50","Tesco","GB0008847096",2016-05-02,2021-02-22,394
"51","The Renewables Infrastructure Group","GG00BBHX2H91",2017-06-05,2021-04-19,1545
"52","Unilever","GB00B10RZP78",2016-05-02,2021-04-19,41
"53","Unite Group","GB0006928617",2019-08-12,2021-04-19,146
"54","Vodafone Group","GB00BH4HKS39",2016-05-02,2019-03-18,1
"55","Worldpay","US9815581098",2018-01-29,2019-07-29,14
"56","Worldplay Inc","DUMY98220232",2019-08-05,2019-08-26,14
"57","Wory Grou","GB00BYYK2V80",2017-06-05,2018-01-22,475
"58",NA,"GB00BLGZ9862",2021-03-01,2021-04-19,505
